Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,Background,label
16,32,24,32,28,32,36,28,44,28,28,32,36,32,44,28,44,32,60,unknow
16,36,24,36,28,32,36,32,44,28,28,32,36,32,44,28,44,32,56,unknow
16,36,24,36,28,36,36,36,44,32,28,36,36,32,44,32,44,36,60,unknow
16,40,24,36,28,36,36,36,44,32,28,36,36,36,44,32,44,36,60,unknow
16,40,24,40,28,36,36,36,44,36,28,40,36,40,44,40,44,40,60,unknow
16,44,24,40,28,40,36,40,44,40,24,40,36,40,40,36,44,40,56,unknow
16,44,24,44,24,40,32,44,44,40,24,44,32,40,44,44,44,40,60,unknow
16,44,24,44,24,44,32,48,44,44,24,44,32,40,40,40,44,44,60,unknow
16,48,24,44,24,44,32,48,44,44,24,44,32,40,36,40,44,44,56,unknow
16,48,24,48,24,44,32,52,44,48,24,44,32,48,40,40,44,48,60,unknow
16,48,20,48,24,48,32,52,40,48,24,48,32,48,40,52,44,48,56,unknow
16,52,24,48,24,48,32,48,44,48,24,52,32,52,44,52,44,48,56,unknow
16,52,24,52,24,52,32,52,40,52,24,48,32,52,44,52,44,52,56,unknow
16,52,24,52,24,52,32,52,44,52,24,52,32,56,40,56,44,52,56,unknow
16,56,24,56,28,52,36,56,40,60,24,52,36,56,40,56,44,56,56,unknow
16,56,24,56,24,56,36,56,40,60,24,56,36,56,40,60,44,56,56,unknow
16,60,24,56,28,56,32,60,40,60,24,56,32,60,40,60,44,56,56,unknow
16,60,24,60,24,56,32,60,44,60,24,60,32,60,44,60,44,60,56,unknow
16,60,24,60,24,60,32,64,44,64,24,60,32,60,44,64,44,60,56,unknow
16,64,20,60,24,60,32,64,44,60,24,60,32,60,44,64,44,60,56,unknow
16,64,20,64,24,60,32,68,44,64,24,64,32,64,40,64,44,64,56,unknow
16,68,20,64,24,60,32,64,40,60,24,64,32,68,40,68,44,64,56,unknow
16,68,20,64,24,64,32,68,40,64,24,64,28,60,36,64,40,64,56,unknow
16,68,20,68,24,64,32,64,40,64,24,68,32,68,40,68,44,64,56,unknow
16,72,20,68,24,68,32,68,44,64,24,68,32,64,44,64,44,68,56,unknow
16,72,20,72,24,68,32,68,44,64,24,72,32,72,40,64,44,68,56,unknow
16,72,20,72,24,72,36,72,44,68,24,68,32,68,44,64,44,68,56,unknow
16,76,20,72,24,72,36,72,44,64,24,72,32,68,40,64,44,72,56,unknow
16,76,24,76,24,72,36,76,40,68,24,72,36,68,44,68,44,72,56,unknow
16,76,24,76,24,76,36,76,40,68,24,76,36,72,44,68,44,76,56,unknow
16,80,24,80,24,76,36,80,40,72,24,76,32,72,44,72,44,76,56,unknow
16,80,24,80,24,76,36,76,44,72,24,80,36,80,40,76,44,76,56,unknow
16,80,24,80,24,80,36,80,44,76,24,80,32,80,40,76,44,80,56,unknow
16,84,24,80,24,80,32,80,40,80,24,80,28,84,40,80,40,80,52,unknow
16,84,20,84,20,84,24,80,20,84,20,84,40,88,20,84,40,84,52,unknow
16,88,24,84,24,84,32,84,44,88,24,84,28,84,40,84,40,84,56,unknow
16,88,0,0,24,88,0,0,40,92,24,84,44,92,80,16,44,88,56,unknow
16,88,0,0,0,0,0,0,44,92,0,36,40,92,80,16,40,88,52,unknow
16,92,0,0,0,0,0,0,48,92,0,40,68,16,80,16,44,88,48,unknow
